1,45,19
1,44,20
0,28,36
1,48,16
1,33,30
1,41,23
1,45,19
0,30,34
0,27,37
0,5,59
0,24,40
1,48,16
1,41,23
0,27,37
1,41,23
1,34,30
1,37,27
1,43,21
0,20,44
0,24,40
1,34,30
1,34,30
1,43,21
0,19,45
1,37,27
1,40,24
0,29,35
1,40,24
0,29,35
0,29,35
0,26,38
1,46,18
0,29,35
0,30,34
1,47,17
1,43,21
0.5,32,32
1,35,29
0,27,37
0,23,41
0,30,34
0,31,33
1,37,27
1,48,16
0,20,44
0,31,33
1,42,22
0,31,33
1,47,17
0,15,49
0,26,38
1,43,21
1,46,18
0,31,33
1,39,25
1,52,9
1,36,28
0,29,35
1,43,21
1,38,25
1,37,27
0,16,48
1,33,31
1,41,23
1,41,23
0,21,43
1,33,31
0,31,33
1,40,24
0,27,37
0,19,45
1,33,31
0,27,37
0,0,15
1,57,7
1,33,31
1,36,28
0,24,40
1,40,24
1,38,26
0,11,53
0,21,43
0,23,41
0,18,46
1,44,20
1,35,29
0,24,40
1,34,30
1,48,16
1,50,14
0,19,45
1,34,30
0,27,37
1,33,31
0,30,34
0,19,45
1,51,13
0,22,42
1,38,26
1,34,30
